ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
P91,Participant_91,user91@university.edu,dota 2,3,supporter,64,Thinker
P90,Participant_90,user90@university.edu,basketball,3,attacker,68,Thinker
P89,Participant_89,user89@university.edu,cs:go,10,attacker,80,Balanced
P88,Participant_88,user88@university.edu,valorant,7,attacker,44,null
P87,Participant_87,user87@university.edu,dota 2,3,attacker,40,null
P86,Participant_86,user86@university.edu,basketball,6,attacker,88,Balanced
P85,Participant_85,user85@university.edu,chess,9,strategist,52,Thinker
P84,Participant_84,user84@university.edu,valorant,10,strategist,60,Thinker
P83,Participant_83,user83@university.edu,basketball,7,coordinator,52,Thinker
P100,Participant_100,user100@university.edu,dota 2,10,strategist,52,Thinker
P99,Participant_99,user99@university.edu,basketball,5,strategist,60,Thinker
P98,Participant_98,user98@university.edu,basketball,9,attacker,64,Thinker
P97,Participant_97,user97@university.edu,valorant,8,strategist,52,Thinker
P96,Participant_96,user96@university.edu,fifa,3,strategist,52,Thinker
P95,Participant_95,user95@university.edu,fifa,5,coordinator,68,Thinker
P94,Participant_94,user94@university.edu,chess,6,strategist,56,Thinker
P93,Participant_93,user93@university.edu,dota 2,4,supporter,36,null
P92,Participant_92,user92@university.edu,chess,7,supporter,56,Thinker
